date,open,high,low,close,volume
2026-01-22,299.42,300.93,293.53,294.67,3670152
2026-01-23,294.07,294.335,289.79,292.44,3298424
2026-01-26,293.16,296.815,293.14,296.33,3726890
2026-01-27,297.16,297.33,293.27,293.86,2944722
2026-01-28,294.17,295.95,291.2601,294.16,5790347
2026-01-29,317.86,319.9,303.47,309.24,10124929
2026-01-30,307.6,307.783,299.73,306.7,5940669
2026-02-02,307.51,316.64,306.41,314.73,4581189
2026-02-03,312.4,312.975,283.85,294.31,11296020
2026-02-04,291.41,291.41,278.96,289.05,8708033
2026-02-05,286.1,291.81,285.1,289.89,5532797
2026-02-06,292.5,299.89,290.657,298.93,3744313
2026-02-09,295.91,297.72,291.42,296.34,4627815
2026-02-10,294.99,297.61,290.33,291.76,3837343
2026-02-11,292.34,293.5,272.3601,272.81,7628244
2026-02-12,270.3,271.3,257.22,259.52,12565380
2026-02-13,260.0,264.66,256.64,262.38,6842620
2026-02-17,259.2,260.7,254.65,258.31,4929733
2026-02-18,258.64,261.11,256.25,260.79,3949229
2026-02-19,256.0,258.28,253.511,256.28,4948700
2026-02-20,255.195,259.04,253.8,257.16,4708550
2026-02-23,254.37,255.19,220.72,223.35,19522881
2026-02-24,227.8,236.5937,223.63,229.32,13379817
2026-02-25,233.22,239.55,231.22,237.54,8569713
2026-02-26,239.71,247.4899,238.95,242.01,7343055
2026-02-27,238.07,240.21,234.565,240.21,6642222
2026-03-02,235.7,240.78,233.78,239.37,6220287
2026-03-03,236.35,246.09,234.29,245.28,6960369
2026-03-04,245.745,250.85,244.955,250.06,6084995
2026-03-05,249.32,260.38,249.0,256.55,9899962
2026-03-06,256.44,259.3999,252.21,258.85,6234402
2026-03-09,255.38,258.08,251.571,253.33,6126567
2026-03-10,253.26,253.44,246.55,250.2,4937960
2026-03-11,250.005,253.715,247.2,248.87,4012239
2026-03-12,247.1,250.045,245.64,247.68,5547724
2026-03-13,247.67,249.72,244.71,246.28,4338431
2026-03-16,247.87,252.2,246.1,249.25,5674228
2026-03-17,250.51,256.39,250.0,256.11,5840139
2026-03-18,254.16,258.28,250.16,251.6,5177047
2026-03-19,249.43,252.19,248.25,250.37,4249458
2026-03-20,249.0,250.28,241.77,241.77,11314093
2026-03-23,246.5,251.35,244.7101,248.44,4972008
2026-03-24,246.445,247.11,238.0,240.59,4151491
2026-03-25,243.6,246.19,238.0,241.39,4207946
2026-03-26,240.56,246.6742,239.8,241.67,3606840
2026-03-27,238.85,239.44,233.75,236.34,4853707
2026-03-30,237.8,240.21,236.131,237.25,3882602
2026-03-31,240.27,242.85,236.38,242.39,4750293
2026-04-01,242.12,246.2618,240.14,243.14,4228653
2026-04-02,243.0,248.2103,241.485,248.16,3350858
2026-04-06,248.14,248.8999,244.74,246.74,3376019
2026-04-07,245.32,245.76,241.1,245.07,2356072
2026-04-08,248.63,250.0,240.8,241.74,4771476
2026-04-09,240.88,241.74,233.76,237.18,5078595
2026-04-10,239.19,239.2674,230.51,230.76,5869361
2026-04-13,233.63,238.07,231.7,237.82,5349619
2026-04-14,238.75,241.5375,238.12,240.27,3777272
2026-04-15,242.25,246.06,240.985,244.8,3879518
2026-04-16,248.75,251.22,246.125,251.0,4817500
2026-04-17,254.67,255.65,251.04,253.47,5671471
2026-04-20,255.0,258.5,252.56,253.71,5157714
2026-04-21,254.0,258.09,251.865,255.68,5584901
2026-04-22,254.51,257.54,247.21,251.86,12190197
2026-04-23,232.27,232.91,221.73,231.08,22297831
2026-04-24,231.93,232.7999,225.0,231.98,9816859
2026-04-27,229.95,231.32,227.12,228.05,8060665
2026-04-28,230.5,233.555,228.46,233.04,5162895
2026-04-29,230.34,231.48,226.82,227.1,6443724
2026-04-30,226.53,231.6,224.9,230.98,6283334
2026-05-01,234.55,235.95,231.75,232.2,3582091
2026-05-04,232.0,234.09,228.615,229.48,4003082
2026-05-05,230.16,231.0,227.15,229.03,4221889
2026-05-06,228.75,229.0,224.38,225.74,7673185
2026-05-07,227.5,231.82,227.41,231.31,5485545
2026-05-08,229.73,230.705,224.83,229.76,5332800
2026-05-11,228.66,230.23,222.55,223.55,6677186
2026-05-12,224.43,224.43,219.22,219.22,6045225
2026-05-13,218.27,218.31,212.34,214.64,8361214
2026-05-14,215.545,220.96,215.0,218.37,5906199
2026-05-15,218.2,220.91,217.615,219.3,6154450
2026-05-18,218.55,223.33,217.75,222.75,5946367
2026-05-19,224.5,227.35,221.92,222.33,5937754
2026-05-20,221.05,225.0,216.78,225.0,4858990
2026-05-21,232.58,253.63,230.935,252.97,25707791
2026-05-22,262.05,264.38,253.39,253.84,19072873
2026-05-26,254.55,254.55,245.45,250.69,9256109
2026-05-27,250.455,257.62,250.455,255.2,9275543
2026-05-28,261.0,268.89,257.0,264.22,12432879
2026-05-29,277.3,300.9999,273.33,297.8,28480996
2026-06-01,322.55,327.98,308.0,320.42,32880180
2026-06-02,313.75,332.46,310.109,329.23,17210696
2026-06-03,318.295,318.295,302.5301,305.63,13926558
2026-06-04,307.425,310.44,300.18,301.77,9608097
2026-06-05,300.0,302.3,281.0701,284.84,12509480
2026-06-08,286.44,290.5,279.43,280.82,6790639
2026-06-09,281.135,283.59,271.29,277.49,9007918
2026-06-10,273.82,280.51,271.33,272.36,5497137
2026-06-11,268.0,276.4799,266.5,274.85,7558322
2026-06-12,278.94,278.94,267.68,272.24,5748915
2026-06-15,272.0,272.25,264.8,268.71,7048354
